GID,IDENT,HEURE,TYPEVOIE,ETAT
462,M51,20171014031159,PENETRANTE,FLUIDE
463,M52,20171014031159,PENETRANTE,FLUIDE
464,M53,20171014031159,PENETRANTE,FLUIDE
465,M54,20171014031159,PENETRANTE,FLUIDE
466,N01,20171014031200,PENETRANTE,FLUIDE
467,N02,20171014031200,PENETRANTE,FLUIDE
468,N03,20171014031200,PENETRANTE,FLUIDE
469,N04,20171014031200,PENETRANTE,FLUIDE
470,N05,20171014031200,PENETRANTE,FLUIDE
471,N06,20171014031200,PENETRANTE,FLUIDE
472,N08,20171014031200,PENETRANTE,INCONNU
473,N09,20171014031200,PENETRANTE,INCONNU
474,N10,20171014031200,PENETRANTE,INCONNU
475,N12,20171014031159,PENETRANTE,INCONNU
476,N17,20171014031159,PENETRANTE,FLUIDE
477,N50,20171014031159,PENETRANTE,FLUIDE
478,N51,20171014031200,PENETRANTE,INCONNU
479,N52,20171014031200,PENETRANTE,INCONNU
480,N53,20171014031200,PENETRANTE,INCONNU
481,N55,20171014031200,PENETRANTE,INCONNU
482,N56,20171014031200,PENETRANTE,FLUIDE
483,N57,20171014031200,PENETRANTE,FLUIDE
484,N58,20171014031200,PENETRANTE,FLUIDE
485,N59,20171014031200,PENETRANTE,FLUIDE
486,N61,20171014031200,PENETRANTE,FLUIDE
487,N64,20171014031159,PENETRANTE,FLUIDE
488,O02,20171014031159,PENETRANTE,FLUIDE
489,O03,20171014031159,PENETRANTE,FLUIDE
490,O04,20171014031159,PENETRANTE,FLUIDE
491,O05,20171014031159,PENETRANTE,FLUIDE
492,O06,20171014031159,PENETRANTE,FLUIDE
493,O07,20171014031159,PENETRANTE,FLUIDE
494,O50,20171014031159,PENETRANTE,FLUIDE
495,O51,20171014031159,PENETRANTE,FLUIDE
496,O52,20171014031159,PENETRANTE,FLUIDE
498,O55,20171014031159,PENETRANTE,FLUIDE
499,P01,20171014031159,PENETRANTE,FLUIDE
500,P02,20171014031159,PENETRANTE,FLUIDE
501,P03,20171014031159,PENETRANTE,FLUIDE
502,P55,20171014031159,PENETRANTE,INCONNU
503,P56,20171014031159,PENETRANTE,FLUIDE
504,P57,20171014031159,PENETRANTE,FLUIDE
505,P58,20171014031159,PENETRANTE,FLUIDE
680,Z11,20171014031200,PENETRANTE,FLUIDE
517,R03,20171014031159,PENETRANTE,FLUIDE
561,Y12,20171014031159,PENETRANTE,FLUIDE
541,W04,20171014031159,PENETRANTE,FLUIDE
548,W11,20171014031159,PENETRANTE,FLUIDE
568,Z04,20171014031200,PENETRANTE,FLUIDE
679,Z09,20171014031200,PENETRANTE,FLUIDE
135,MB333.N2,20170524090000,INCONNU,INCONNU
636,M81,20171014031200,PENETRANTE,FLUIDE
